"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2018","CZ031","Frauen","Anzahl","Insgesamt","324.183",""
"2018","CZ032","Insgesamt","Anzahl","Insgesamt","580.816",""
"2018","CZ032","Männer","Anzahl","Insgesamt","287.844",""
"2018","CZ032","Frauen","Anzahl","Insgesamt","292.972",""
"2018","CZ04","Insgesamt","Anzahl","Insgesamt","1.116.766",""
"2018","CZ04","Männer","Anzahl","Insgesamt","553.336",""
"2018","CZ04","Frauen","Anzahl","Insgesamt","563.430",""
"2018","CZ041","Insgesamt","Anzahl","Insgesamt","295.686",""
"2018","CZ041","Männer","Anzahl","Insgesamt","146.012",""
"2018","CZ041","Frauen","Anzahl","Insgesamt","149.674",""
"2018","CZ042","Insgesamt","Anzahl","Insgesamt","821.080",""
"2018","CZ042","Männer","Anzahl","Insgesamt","407.324",""
"2018","CZ042","Frauen","Anzahl","Insgesamt","413.756",""
"2018","CZ05","Insgesamt","Anzahl","Insgesamt","1.510.726",""
"2018","CZ05","Männer","Anzahl","Insgesamt","745.075",""
"2018","CZ05","Frauen","Anzahl","Insgesamt","765.651",""
"2018","CZ051","Insgesamt","Anzahl","Insgesamt","441.300",""
"2018","CZ051","Männer","Anzahl","Insgesamt","217.041",""
"2018","CZ051","Frauen","Anzahl","Insgesamt","224.259",""
"2018","CZ052","Insgesamt","Anzahl","Insgesamt","551.089",""
"2018","CZ052","Männer","Anzahl","Insgesamt","271.430",""
"2018","CZ052","Frauen","Anzahl","Insgesamt","279.659",""
"2018","CZ053","Insgesamt","Anzahl","Insgesamt","518.337",""
"2018","CZ053","Männer","Anzahl","Insgesamt","256.604",""
"2018","CZ053","Frauen","Anzahl","Insgesamt","261.733",""
"2018","CZ06","Insgesamt","Anzahl","Insgesamt","1.692.123",""
"2018","CZ06","Männer","Anzahl","Insgesamt","832.863",""
"2018","CZ06","Frauen","Anzahl","Insgesamt","859.260",""
"2018","CZ063","Insgesamt","Anzahl","Insgesamt","508.916",""
"2018","CZ063","Männer","Anzahl","Insgesamt","252.711",""
"2018","CZ063","Frauen","Anzahl","Insgesamt","256.205",""
"2018","CZ064","Insgesamt","Anzahl","Insgesamt","1.183.207",""
"2018","CZ064","Männer","Anzahl","Insgesamt","580.152",""
"2018","CZ064","Frauen","Anzahl","Insgesamt","603.055",""
"2018","CZ07","Insgesamt","Anzahl","Insgesamt","1.216.234",""
"2018","CZ07","Männer","Anzahl","Insgesamt","595.665",""
"2018","CZ07","Frauen","Anzahl","Insgesamt","620.569",""
"2018","CZ071","Insgesamt","Anzahl","Insgesamt","633.178",""
"2018","CZ071","Männer","Anzahl","Insgesamt","309.888",""
"2018","CZ071","Frauen","Anzahl","Insgesamt","323.290",""
"2018","CZ072","Insgesamt","Anzahl","Insgesamt","583.056",""
"2018","CZ072","Männer","Anzahl","Insgesamt","285.777",""
"2018","CZ072","Frauen","Anzahl","Insgesamt","297.279",""
"2018","CZ08","Insgesamt","Anzahl","Insgesamt","1.205.886",""
"2018","CZ08","Männer","Anzahl","Insgesamt","591.343",""
"2018","CZ08","Frauen","Anzahl","Insgesamt","614.543",""
"2018","CZ080","Insgesamt","Anzahl","Insgesamt","1.205.886",""
"2018","CZ080","Männer","Anzahl","Insgesamt","591.343",""
"2018","CZ080","Frauen","Anzahl","Insgesamt","614.543",""
"2018","DK","Insgesamt","Anzahl","Insgesamt","5.781.190",""
"2018","DK","Männer","Anzahl","Insgesamt","2.876.473",""
"2018","DK","Frauen","Anzahl","Insgesamt","2.904.717",""
"2018","DK0","Insgesamt","Anzahl","Insgesamt","5.781.190",""
"2018","DK0","Männer","Anzahl","Insgesamt","2.876.473",""
"2018","DK0","Frauen","Anzahl","Insgesamt","2.904.717",""
"2018","DK01","Insgesamt","Anzahl","Insgesamt","1.822.659",""
"2018","DK01","Männer","Anzahl","Insgesamt","894.543",""
"2018","DK01","Frauen","Anzahl","Insgesamt","928.116",""
"2018","DK011","Insgesamt","Anzahl","Insgesamt","775.033",""
"2018","DK011","Männer","Anzahl","Insgesamt","380.577",""
"2018","DK011","Frauen","Anzahl","Insgesamt","394.456",""
"2018","DK012","Insgesamt","Anzahl","Insgesamt","546.059",""
"2018","DK012","Männer","Anzahl","Insgesamt","268.010",""
"2018","DK012","Frauen","Anzahl","Insgesamt","278.049",""
"2018","DK013","Insgesamt","Anzahl","Insgesamt","461.852",""
"2018","DK013","Männer","Anzahl","Insgesamt","226.290",""
"2018","DK013","Frauen","Anzahl","Insgesamt","235.562",""
"2018","DK014","Insgesamt","Anzahl","Insgesamt","39.715",""
"2018","DK014","Männer","Anzahl","Insgesamt","19.666",""
"2018","DK014","Frauen","Anzahl","Insgesamt","20.049",""
"2018","DK02","Insgesamt","Anzahl","Insgesamt","835.024",""
"2018","DK02","Männer","Anzahl","Insgesamt","416.086",""
"2018","DK02","Frauen","Anzahl","Insgesamt","418.938",""
"2018","DK021","Insgesamt","Anzahl","Insgesamt","247.774",""
"2018","DK021","Männer","Anzahl","Insgesamt","122.396",""
"2018","DK021","Frauen","Anzahl","Insgesamt","125.378",""
"2018","DK022","Insgesamt","Anzahl","Insgesamt","587.250",""
"2018","DK022","Männer","Anzahl","Insgesamt","293.690",""
"2018","DK022","Frauen","Anzahl","Insgesamt","293.560",""
"2018","DK03","Insgesamt","Anzahl","Insgesamt","1.220.763",""
"2018","DK03","Männer","Anzahl","Insgesamt","610.358",""
"2018","DK03","Frauen","Anzahl","Insgesamt","610.405",""
"2018","DK031","Insgesamt","Anzahl","Insgesamt","496.243",""
"2018","DK031","Männer","Anzahl","Insgesamt","247.088",""
"2018","DK031","Frauen","Anzahl","Insgesamt","249.155",""
"2018","DK032","Insgesamt","Anzahl","Insgesamt","724.520",""
"2018","DK032","Männer","Anzahl","Insgesamt","363.270",""
"2018","DK032","Frauen","Anzahl","Insgesamt","361.250",""
"2018","DK04","Insgesamt","Anzahl","Insgesamt","1.313.596",""
"2018","DK04","Männer","Anzahl","Insgesamt","657.806",""
"2018","DK04","Frauen","Anzahl","Insgesamt","655.790",""
"2018","DK041","Insgesamt","Anzahl","Insgesamt","430.232",""
"2018","DK041","Männer","Anzahl","Insgesamt","217.333",""
"2018","DK041","Frauen","Anzahl","Insgesamt","212.899",""
"2018","DK042","Insgesamt","Anzahl","Insgesamt","883.364",""
"2018","DK042","Männer","Anzahl","Insgesamt","440.473",""
"2018","DK042","Frauen","Anzahl","Insgesamt","442.891",""
"2018","DK05","Insgesamt","Anzahl","Insgesamt","589.148",""
"2018","DK05","Männer","Anzahl","Insgesamt","297.680",""
"2018","DK05","Frauen","Anzahl","Insgesamt","291.468",""
"2018","DK050","Insgesamt","Anzahl","Insgesamt","589.148",""
"2018","DK050","Männer","Anzahl","Insgesamt","297.680",""
"2018","DK050","Frauen","Anzahl","Insgesamt","291.468",""
"2018","DE","Insgesamt","Anzahl","Insgesamt","82.792.351",""
